Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,,,,,,,,,,,,,,,4781.2031,8120.6411,,718.79669,949.09705,728.62933,1117.1721,1045.5527,707.38635,378.42331,0.0,,,8.0434151,,4.2230539,5.8206105,2.4651561,1.4124293,5.9824266,9.0917521,3.0386741,3.6566415,52.301826,9.8339949,3.4971306,6.2394152,4.1637135,,,,,,
Belize,61.068703,3225.564,9933.333,138.68613,1553.9568,1808.5106,4215.2778,1256.7567,39.473682,70.512817,25.0,42.424244,729.41174,1287.3563,413.40781,10.928962,132.97873,36.649216,56.701031,0.0,0.0,19.323671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Benin,5134.6094,4053.5989,2842.5457,4515.584,6603.0078,3066.0403,5013.4517,3240.3142,3016.8025,2914.3564,3232.3792,3087.1699,1674.0068,2906.2844,1128.8252,680.70538,,1047.9705,571.83044,742.8468,1322.5411,1772.6041,223.99081,1515.6001,100.15456,386.10443,618.11829,827.89319,217.68335,28.852547,33.80645,26.309196,21.41901,40.331165,106.70346,163.33147,42.613327,45.026955,29.602221,63.67453,76.407112,5.2004538,,,,,,
Bhutan,,,,,1142.8572,2251.8892,4014.6699,2623.8096,4334.1069,3067.8733,2909.6917,1753.7473,1962.7329,1346.0,738.87811,1045.283,322.16016,821.22906,193.60902,965.58319,1321.0831,287.37863,17.34104,319.4707,121.77122,17777.777,729.4939,1281.356,44.554455,0.0,4.6875,16.742769,2.9761906,16.011644,9.9857349,8.4033613,28.846153,13.495276,1.3280213,0.0,0.0,13.977128,,,,,,
Bolivia,1084.8633,447.99362,1255.2734,1565.5331,628.59814,1060.8887,747.94275,1339.986,123.39332,341.27518,208.70995,34.932388,54.591354,152.66821,271.95511,99.509148,119.60326,301.44431,692.23218,466.18091,194.23103,10.043611,0.90708822,0.88934064,125.09344,176.09679,14.628298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,114.72104,40.94236,33.970276,60.909981,221.57509,32.518211,,1049.307,749.59998,35.381752,11.414919,,7.4152541,4.763165,7.4054484,6.0814385,4.4985447,43.985161,2.1253984,5.8713636,12.090274,2.7107618,6.0307016,,841.27875,474.26471,,,,,,
Botswana,7066.583,10692.494,4073.4265,9682.7354,2675.6465,8875.5186,4086.9131,2078.0347,1405.2045,5872.5313,8035.6211,1416.3163,829.66583,99.683548,546.08295,2814.1792,883.88971,398.72971,388.73627,3563.2107,1596.2166,304.65265,642.14465,3072.0391,419.16168,258.23529,1546.2963,0.56980056,3.9325843,32.705101,0.54674685,2.6939654,3.1847134,0.52246606,0.0,92.929291,423.32507,3.9005363,3.3508856,0.46970409,0.46104196,0.0,,,,,,
Brazil,190.93167,183.65982,668.0791,482.06754,444.24545,553.91534,819.27203,494.07809,310.12943,448.55331,608.9939,560.10645,932.3244,467.59821,181.79608,155.789,411.34366,279.89102,51.331486,38.419682,0.21915406,4.8861041,3.5170059,312.05945,16.342384,5.2558765,0.2053763,0.0056258473,0.0055508991,0.010959985,0.0,0.032099809,0.30156815,0.0,0.0,0.0,0.34553549,0.2164208,0.0099720284,1.0869082,4.289639,1.0390266,,,,,,
Brunei,,,791.66669,,11812.154,1324.4681,2500.0,3875.0,1179.6117,2632.0754,2481.6514,2742.2222,1904.762,264.70587,114.7541,154.7619,46.332047,,186.13139,177.30496,,,,41.666668,37.617554,70.552147,126.12613,32.35294,,67.98867,44.444443,24.657534,,,7.9155674,5.2083335,0.0,10.152285,2.5,,2.4271846,9.5693779,,,,,,
Bulgaria,4751.6958,2307.3931,1923.7433,91.570099,47.915722,28.126059,1212.186,1037.507,31.463442,36.412376,32.556583,108.30083,152.69728,174.10715,45.205326,12.476115,16.627079,231.32201,2334.947,41.277985,14.277287,20.52751,83.815727,2.8007793,9.8304253,2.9750836,5.7514377,1.0087,0.0,0.0,0.0,0.39042166,0.13114753,0.13215277,0.13315579,301.63626,2971.5059,21.343121,0.1367989,1.9267823,0.0,0.0,,,,,,
