Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Benin,,,,,,,,,,,,23.0,20.0,26.0,30.0,48.0,79.0,60.0,70.0,67.0,78.0,65.0,60.0,66.0,67.0,69.0,70.0,68.0,66.0,65.0,63.0,61.0,66.0,70.0,66.0,71.0,68.0,70.0,74.0,68.0,65.0,67.0,68.0,70.0,71.0,71.0,,
Bhutan,,,,,,,21.0,21.0,20.0,21.0,36.0,44.0,51.0,58.0,64.0,79.0,93.0,89.0,86.0,84.0,81.0,85.0,85.0,84.0,71.0,77.0,78.0,78.0,78.0,88.0,87.0,93.0,90.0,95.0,99.0,94.0,95.0,95.0,95.0,94.0,97.0,97.0,97.0,97.0,97.0,97.0,,
Bolivia (Plurinational State of),,,,,,,13.0,17.0,15.0,13.0,20.0,21.0,55.0,57.0,58.0,59.0,53.0,54.0,57.0,57.0,64.0,58.0,61.0,51.0,65.0,79.0,84.0,88.0,91.0,96.0,90.0,89.0,88.0,86.0,92.0,93.0,88.0,96.0,92.0,87.0,89.0,95.0,94.0,83.0,89.0,79.0,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,52.0,48.0,57.0,53.0,70.0,86.0,84.0,83.0,80.0,92.0,89.0,84.0,88.0,90.0,85.0,96.0,84.0,93.0,91.0,89.0,94.0,92.0,89.0,83.0,68.0,69.0,68.0,68.0,,
Botswana,,,,,,,63.0,70.0,75.0,79.0,82.0,85.0,91.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,89.0,89.0,89.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,,
Brazil,,,,,,,57.0,73.0,66.0,68.0,73.0,67.0,67.0,64.0,62.0,60.0,78.0,85.0,91.0,85.0,77.0,87.0,80.0,99.0,95.0,99.0,99.0,99.0,96.0,97.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,95.0,91.0,92.0,91.0,,
Brunei,,,,,,,73.0,80.0,88.0,94.0,90.0,98.0,99.0,99.0,99.0,99.0,99.0,96.0,92.0,99.0,99.0,99.0,99.0,98.0,99.0,94.0,99.0,99.0,99.0,98.0,99.0,98.0,97.0,97.0,99.0,99.0,94.0,91.0,95.0,96.0,97.0,96.0,98.0,97.0,99.0,97.0,,
Bulgaria,,,,,,,98.0,98.0,90.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,92.0,88.0,93.0,94.0,95.0,93.0,95.0,96.0,89.0,90.0,92.0,96.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,95.0,94.0,95.0,93.0,92.0,92.0,94.0,93.0,93.0,,
Burkina Faso,,,,,,,,,,,,38.0,40.0,37.0,52.0,66.0,79.0,69.0,60.0,50.0,45.0,43.0,40.0,41.0,24.0,36.0,48.0,63.0,64.0,76.0,78.0,84.0,88.0,94.0,94.0,94.0,92.0,89.0,87.0,82.0,88.0,88.0,88.0,88.0,88.0,88.0,,
Burundi,,,,,,,,28.0,40.0,54.0,27.0,32.0,59.0,54.0,46.0,73.0,74.0,74.0,69.0,69.0,42.0,80.0,79.0,77.0,68.0,70.0,72.0,73.0,75.0,76.0,78.0,87.0,92.0,88.0,84.0,91.0,92.0,93.0,93.0,98.0,94.0,93.0,93.0,90.0,88.0,92.0,,
Cambodia,,,,,,,,,,,27.0,29.0,54.0,53.0,39.0,39.0,34.0,39.0,33.0,36.0,50.0,62.0,56.0,50.0,54.0,63.0,65.0,59.0,52.0,65.0,80.0,79.0,78.0,79.0,89.0,92.0,90.0,88.0,84.0,79.0,83.0,84.0,84.0,84.0,84.0,84.0,,
Cameroon,,,,,,,,16.0,21.0,25.0,31.0,39.0,44.0,44.0,48.0,56.0,56.0,48.0,37.0,32.0,38.0,46.0,39.0,43.0,47.0,46.0,49.0,51.0,53.0,61.0,64.0,68.0,73.0,74.0,80.0,74.0,79.0,76.0,82.0,83.0,78.0,74.0,71.0,65.0,59.0,60.0,,
Canada,,,,,,,,,,,,,,70.0,85.0,87.0,89.0,92.0,94.0,96.0,97.0,96.0,97.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,93.0,94.0,93.0,91.0,90.0,88.0,89.0,90.0,90.0,89.0,89.0,90.0,90.0,90.0,,
Cape Verde,,,,,,,,,,,,54.0,58.0,75.0,80.0,84.0,79.0,76.0,82.0,88.0,87.0,85.0,84.0,83.0,84.0,85.0,86.0,88.0,89.0,90.0,91.0,92.0,94.0,95.0,96.0,97.0,97.0,96.0,91.0,91.0,93.0,92.0,93.0,96.0,99.0,98.0,,
Central African Republic,,,,,,,12.0,15.0,16.0,16.0,19.0,23.0,24.0,17.0,40.0,69.0,82.0,57.0,32.0,42.0,52.0,46.0,44.0,42.0,37.0,37.0,36.0,35.0,42.0,49.0,55.0,62.0,61.0,59.0,58.0,56.0,53.0,49.0,49.0,25.0,49.0,49.0,49.0,49.0,49.0,49.0,,
Chad,,,,,,,,,,,10.0,7.0,12.0,16.0,17.0,32.0,32.0,28.0,25.0,19.0,24.0,26.0,22.0,30.0,20.0,30.0,28.0,26.0,25.0,23.0,16.0,27.0,39.0,31.0,27.0,36.0,46.0,54.0,63.0,57.0,45.0,46.0,37.0,37.0,42.0,41.0,,
